gene,rna_rep1,rna_rep2
Ak7,0.611111111111111,1
Akap10,0.463414634146341,0.30952380952381
Akap11,0.475806451612903,0.349593495934959
Akap12,0.490938661710037,0.500195083886071
Akap13,0.470588235294118,0.699346405228758
Akap7,0.375,0.6
Akap9,0.598752598752599,0.686046511627907
Akip1,0.470588235294118,0
Akirin1,0.6,0.277777777777778
Akirin2,0.675675675675676,0.30952380952381
Akna,0.611842105263158,0.432624113475177
Akr1a1,0.481617647058824,0.654205607476635
Akr1e1,0.192307692307692,0.214285714285714
Akr7a5,0.52,0.738636363636364
Akt1,0.35981308411215,0.451977401129944
Akt1s1,0.588235294117647,0.780487804878049
Akt2,0.428571428571429,0.555555555555556
Aktip,0.65546218487395,0.925
Alad,0.40234375,0.571428571428571
Alas1,0.543478260869565,0.481481481481481
Aldh16a1,0.582456140350877,0.623015873015873
Aldh18a1,0.46089850249584,0.478964401294498
Aldh1b1,0.318471337579618,0.0886075949367089
Aldh1l1,0.258426966292135,0.442105263157895
Aldh2,0.546875,0.558482613277134
Aldh3a2,0.683760683760684,0.368421052631579
Aldh5a1,0.525423728813559,0.282608695652174
Aldh6a1,0.673913043478261,0.789473684210526
Aldh7a1,0.575549450549451,0.471910112359551
Aldh9a1,0.537634408602151,0.468852459016393
Aldoc,0.4,0.485714285714286
Alg1,0.533980582524272,0.630252100840336
Alg10b,0.375,0.497237569060773
Alg11,0.638297872340426,0.498783454987835
Alg14,0.444444444444444,0
Alg3,0.350515463917526,0.674418604651163
Alg5,0.461538461538462,0.6
Alg6,0.627272727272727,0.432624113475177
Alg8,0.446280991735537,0.556701030927835
Alg9,0.518867924528302,0.467455621301775
Alkbh1,0.418326693227092,0.416184971098266
Alkbh2,0.54983922829582,0.61244019138756
Alkbh3,0.574468085106383,0.416666666666667
