gene,long_rep1_ASE_pat,long_rep1_ASE_mat,long_rep1_pat_ratio,long_rep1_longread_def,long_rep2_ASE_pat,long_rep2_ASE_mat,long_rep2_pat_ratio,long_rep2_longread_def
Fasn,41,40,0.506172839506173,none,25,19,0.568181818181818,none
Fastkd2,52,35,0.597701149425287,none,20,27,0.425531914893617,none
Fblim1,53,94,0.360544217687075,none,44,94,0.318840579710145,none
Fbxo21,32,47,0.40506329113924,none,33,25,0.568965517241379,none
Fbxo42,19,29,0.395833333333333,none,18,30,0.375,none
Fdx1,32,22,0.592592592592593,none,23,22,0.511111111111111,none
Fermt2,25,32,0.43859649122807,none,37,22,0.627118644067797,none
Fgfr1op2,45,37,0.548780487804878,none,18,33,0.352941176470588,none
Fh1,130,120,0.52,none,82,98,0.455555555555556,none
Fig4,34,22,0.607142857142857,none,58,47,0.552380952380952,none
Fiz1,56,52,0.518518518518518,none,47,71,0.398305084745763,none
Fkbp9,73,99,0.424418604651163,none,53,57,0.481818181818182,none
Flna,0,94,0,maternal,0,78,0,maternal
Flnb,47,32,0.594936708860759,none,68,59,0.535433070866142,none
Flot2,32,33,0.492307692307692,none,28,26,0.518518518518518,none
Fn1,208,209,0.498800959232614,none,170,175,0.492753623188406,none
Fnta,148,103,0.589641434262948,none,112,79,0.586387434554974,none
Folr1,64,39,0.621359223300971,none,84,48,0.636363636363636,none
Fto,42,25,0.626865671641791,none,43,15,0.741379310344828,none
Ftsj1,0,42,0,maternal,0,56,0,maternal
Ftsj3,60,99,0.377358490566038,none,57,65,0.467213114754098,none
Fubp1,185,206,0.473145780051151,none,147,171,0.462264150943396,none
Fxn,28,17,0.622222222222222,none,25,18,0.581395348837209,none
Gab1,136,85,0.615384615384615,none,97,62,0.610062893081761,none
Gabpa,38,56,0.404255319148936,none,35,52,0.402298850574713,none
Galk1,107,116,0.479820627802691,none,92,99,0.481675392670157,none
Gars,264,325,0.448217317487267,none,258,301,0.461538461538462,none
Gart,112,165,0.404332129963899,none,134,165,0.448160535117057,none
Gatd3a,36,23,0.610169491525424,none,22,22,0.5,none
Gcdh,52,25,0.675324675324675,none,43,22,0.661538461538462,none
Gclc,38,44,0.463414634146341,none,23,20,0.534883720930233,none
Gcsh,333,125,0.72707423580786,none,273,109,0.714659685863874,none
Gdf3,69,78,0.469387755102041,none,90,94,0.489130434782609,none
Gfm1,45,34,0.569620253164557,none,34,47,0.419753086419753,none
Gga1,39,34,0.534246575342466,none,21,22,0.488372093023256,none
Gins1,46,45,0.505494505494505,none,45,39,0.535714285714286,none
Gins4,125,68,0.647668393782383,none,125,60,0.675675675675676,none
Gjb3,122,117,0.510460251046025,none,135,143,0.485611510791367,none
Glb1,27,47,0.364864864864865,none,29,51,0.3625,none
Glyr1,49,54,0.475728155339806,none,26,46,0.361111111111111,none
Gmfb,45,64,0.412844036697248,none,36,33,0.521739130434783,none
Gnb2,54,85,0.388489208633094,none,50,87,0.364963503649635,none
Gnpat,170,57,0.748898678414097,none,111,41,0.730263157894737,none
Golm1,31,30,0.508196721311475,none,23,23,0.5,none
Got1,89,105,0.458762886597938,none,81,98,0.452513966480447,none
Gpbp1l1,23,32,0.418181818181818,none,26,18,0.590909090909091,none
Gpd2,29,54,0.349397590361446,none,32,34,0.484848484848485,none
Gpn1,54,54,0.5,none,58,48,0.547169811320755,none
Gpn2,26,24,0.52,none,28,31,0.474576271186441,none
Gpn3,58,49,0.542056074766355,none,52,44,0.541666666666667,none
Gpt2,54,32,0.627906976744186,none,60,52,0.535714285714286,none
Grn,37,31,0.544117647058823,none,40,37,0.519480519480519,none
Gsr,369,165,0.691011235955056,none,303,125,0.707943925233645,none
Gsta4,305,463,0.397135416666667,none,315,421,0.427989130434783,none
Gsto1,61,31,0.66304347826087,none,55,55,0.5,none
